Date : 2024-01-12 14:36:48
Directory : /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G
Total : 112 files,  39655 codes, 10239 comments, 8830 blanks, all 58724 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/testrunner.c       | C            |        196 |         19 |         24 |        239 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/testrunner.h       | C++          |         76 |         67 |         23 |        166 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/testsuites.c       | C            |          6 |          7 |          3 |         16 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/Arg.h                        | C++          |        298 |        274 |        121 |        693 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ArgException.h               | C++          |         85 |         87 |         29 |        201 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ArgTraits.h                  | C++          |         25 |         50 |         13 |         88 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/CmdLine.h                    | C++          |        326 |        192 |        116 |        634 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/CmdLineInterface.h           | C++          |         34 |         89 |         28 |        151 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/CmdLineOutput.h              | C++          |         22 |         38 |         15 |         75 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/Constraint.h                 | C++          |         20 |         38 |         11 |         69 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/DocBookOutput.h              | C++          |        197 |         48 |         55 |        300 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/HelpVisitor.h                | C++          |         21 |         41 |         15 |         77 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/IgnoreRestVisitor.h          | C++          |         13 |         29 |         11 |         53 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/MultiArg.h                   | C++          |        217 |        165 |         52 |        434 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/MultiSwitchArg.h             | C++          |         91 |         87 |         39 |        217 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/OptionalUnlabeledTracker.h   | C++          |         24 |         19 |         20 |         63 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/StandardTraits.h             | C++          |         90 |         86 |         33 |        209 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/StdOutput.h                  | C++          |        165 |         78 |         56 |        299 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/SwitchArg.h                  | C++          |        121 |        102 |         44 |        267 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/UnlabeledMultiArg.h          | C++          |        139 |        125 |         38 |        302 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/UnlabeledValueArg.h          | C++          |        149 |        153 |         39 |        341 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ValueArg.h                   | C++          |        199 |        181 |         46 |        426 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ValuesConstraint.h           | C++          |         72 |         47 |         30 |        149 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/VersionVisitor.h             | C++          |         24 |         42 |         16 |         82 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/Visitor.h                    | C++          |         12 |         31 |         11 |         54 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/XorHandler.h                 | C++          |         72 |         65 |         30 |        167 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ZshCompletionOutput.h        | C++          |        240 |         43 |         41 |        324 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/nvs_partition_gen.py                        | Python       |        748 |        141 |        175 |      1,064 |
| Total                                                                                            |              |     39,655 |     10,239 |      8,830 |     58,724 |
+--------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
