"filename", "language", "Markdown", "CMake", "Python", "C++", "Makefile", "C", "JSON", "Shell Script", "comment", "blank", "total"
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/build_all_configs.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 11, 8, 9, 28
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/format.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 8, 2, 1, 11
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/include/sdkconfig.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/include/spiffs_config.h", "C++", 0, 0, 0, 157, 0, 0, 0, 0, 153, 35, 345
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/main.cpp", "C++", 0, 0, 0, 546, 0, 0, 0, 0, 86, 137, 769
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/FUZZING.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/README.md", "Markdown", 172, 0, 0, 0, 0, 0, 0, 0, 0, 41, 213
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/files.mk", "Makefile", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/makefile", "Makefile", 0, 0, 0, 0, 112, 0, 0, 0, 24, 28, 164
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/default/spiffs_config.h", "C++", 0, 0, 0, 171, 0, 0, 0, 0, 155, 37, 363
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs.h", "C++", 0, 0, 0, 277, 0, 0, 0, 0, 444, 96, 817
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_cache.c", "C", 0, 0, 0, 0, 0, 237, 0, 0, 42, 41, 320
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_check.c", "C", 0, 0, 0, 0, 0, 725, 0, 0, 178, 93, 996
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_gc.c", "C", 0, 0, 0, 0, 0, 462, 0, 0, 91, 54, 607
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_hydrogen.c", "C", 0, 0, 0, 0, 0, 1174, 0, 0, 41, 237, 1452
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_nucleus.c", "C", 0, 0, 0, 0, 0, 1857, 0, 0, 250, 253, 2360
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_nucleus.h", "C++", 0, 0, 0, 522, 0, 0, 0, 0, 204, 117, 843
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/main.c", "C", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/params_test.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 25, 12, 85
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_bugreports.c", "C", 0, 0, 0, 0, 0, 952, 0, 0, 68, 247, 1267
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_check.c", "C", 0, 0, 0, 0, 0, 301, 0, 0, 36, 91, 428
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_dev.c", "C", 0, 0, 0, 0, 0, 77, 0, 0, 21, 25, 123
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_hydrogen.c", "C", 0, 0, 0, 0, 0, 1994, 0, 0, 103, 411, 2508
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_spiffs.c", "C", 0, 0, 0, 0, 0, 871, 0, 0, 139, 102, 1112
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_spiffs.h", "C++", 0, 0, 0, 86, 0, 0, 0, 0, 6, 18, 110
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/testrunner.c", "C", 0, 0, 0, 0, 0, 196, 0, 0, 19, 24, 239
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/testrunner.h", "C++", 0, 0, 0, 76, 0, 0, 0, 0, 67, 23, 166
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/testsuites.c", "C", 0, 0, 0, 0, 0, 6, 0, 0, 7, 3, 16
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/Arg.h", "C++", 0, 0, 0, 298, 0, 0, 0, 0, 274, 121, 693
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ArgException.h", "C++", 0, 0, 0, 85, 0, 0, 0, 0, 87, 29, 201
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ArgTraits.h", "C++", 0, 0, 0, 25, 0, 0, 0, 0, 50, 13, 88
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/CmdLine.h", "C++", 0, 0, 0, 326, 0, 0, 0, 0, 192, 116, 634
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/CmdLineInterface.h", "C++", 0, 0, 0, 34, 0, 0, 0, 0, 89, 28, 151
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/CmdLineOutput.h", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 38, 15, 75
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/Constraint.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 38, 11, 69
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/DocBookOutput.h", "C++", 0, 0, 0, 197, 0, 0, 0, 0, 48, 55, 300
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/HelpVisitor.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 41, 15, 77
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/IgnoreRestVisitor.h", "C++", 0, 0, 0, 13, 0, 0, 0, 0, 29, 11, 53
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/MultiArg.h", "C++", 0, 0, 0, 217, 0, 0, 0, 0, 165, 52, 434
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/MultiSwitchArg.h", "C++", 0, 0, 0, 91, 0, 0, 0, 0, 87, 39, 217
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/OptionalUnlabeledTracker.h", "C++", 0, 0, 0, 24, 0, 0, 0, 0, 19, 20, 63
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/StandardTraits.h", "C++", 0, 0, 0, 90, 0, 0, 0, 0, 86, 33, 209
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/StdOutput.h", "C++", 0, 0, 0, 165, 0, 0, 0, 0, 78, 56, 299
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/SwitchArg.h", "C++", 0, 0, 0, 121, 0, 0, 0, 0, 102, 44, 267
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/UnlabeledMultiArg.h", "C++", 0, 0, 0, 139, 0, 0, 0, 0, 125, 38, 302
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/UnlabeledValueArg.h", "C++", 0, 0, 0, 149, 0, 0, 0, 0, 153, 39, 341
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ValueArg.h", "C++", 0, 0, 0, 199, 0, 0, 0, 0, 181, 46, 426
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ValuesConstraint.h", "C++", 0, 0, 0, 72, 0, 0, 0, 0, 47, 30, 149
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/VersionVisitor.h", "C++", 0, 0, 0, 24, 0, 0, 0, 0, 42, 16, 82
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/Visitor.h", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 31, 11, 54
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/XorHandler.h", "C++", 0, 0, 0, 72, 0, 0, 0, 0, 65, 30, 167
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/tclap/ZshCompletionOutput.h", "C++", 0, 0, 0, 240, 0, 0, 0, 0, 43, 41, 324
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/nvs_partition_gen.py", "Python", 0, 0, 748, 0, 0, 0, 0, 0, 141, 175, 1064
"Total", "-", 321, 8, 823, 6180, 248, 31873, 183, 19, 10239, 8830, 58724
